Dataset,minsup %,Frequent patterns,Apriori time(s),Apriori memory(MB),Fpgrowth time(s),Fpgrowth memory(MB)
mushroom,35,1189,29.7999,4.911668,0.8697,2.28204
mushroom,30,2735,59.0705,3.373821,0.9375,2.698249
mushroom,25,5545,139.7329,6.782377,1.2676,3.477877
mushroom,20,53583,1295.0721,62.812609,3.6143,11.283313
chess,90,628,11.3108,0.921385,0.2314,0.814376
chess,85,2669,53.9281,3.346877,0.3669,0.853177
chess,80,8227,172.5347,10.372749,0.6812,2.108409
chess,75,20993,557.5314,25.242917,1.6108,5.079177
retail,1.5,84,5.3109,1.364689,8.8938,12.359053
retail,1.25,119,10.1745,2.279317,13.1404,16.896749
retail,1,159,13.8496,3.582913,17.7767,21.805261
retail,0.75,277,24.1729,8.202833,28.0259,32.070181
kosarak,2,121,34.5435,2.057109,52.3013,59.833201
kosarak,1.5,188,53.883,2.539661,78.3437,75.057553
kosarak,1,386,104.6837,4.059005,127.5817,101.248541
kosarak,0.5,1627,447.3773,23.035045,314.9841,199.364141
accidents,90,31,42.8517,0.239565,13.8755,46.103113
accidents,85,71,111.6989,0.323061,16.7157,47.052857
accidents,80,149,260.498,0.476365,20.2983,67.060049
accidents,75,313,622.8345,0.768413,23.9777,69.572061
